id,lat,long,timezone,yr,mon,day,hr,temp,rh,ws,prec,grass_fuel_load,percent_cured,solrad,sunrise,sunset,sunlight_hours,mcffmc,ffmc,dmc,dc,isi,bui,fwi,dsr,mcgfmc_matted,mcgfmc_standing,gfmc,gsi,gfwi,prec_cumulative,canopy_drying
PRF,45.996,-77.427,-4,2007,5,11,12,14.44,59.49,10.53,0.0,0.35,83.77,0.6041,5.7243,20.4706,14.7463,22.686,79.5771,8.9866,24.3912,1.8497,9.3557,1.3416,0.0458,13.6117,20.4154,84.7247,15.8523,22.9898,0.0,0.0
PRF,45.996,-77.427,-4,2007,5,11,13,14.61,51.85,14.21,0.0,0.35,83.77,0.6709,5.7243,20.4706,14.7463,20.9999,80.9706,9.1428,24.7979,2.5829,9.5152,2.459,0.1337,12.2096,18.3867,85.3551,25.0956,26.2711,0.0,0.0
PRF,45.996,-77.427,-4,2007,5,11,14,16.81,36.79,13.26,0.0,0.35,83.77,0.7378,5.7243,20.4706,14.7463,18.617,82.9883,9.3787,25.2375,3.1417,9.7237,3.2171,0.2152,9.5784,15.4775,87.2132,30.8462,27.7448,0.0,0.0
PRF,45.996,-77.427,-4,2007,5,11,15,17.46,32.67,13.17,0.0,0.35,83.77,0.6977,5.7243,20.4706,14.7463,16.5139,84.8179,9.6397,25.6869,3.9869,9.9471,4.2781,0.3564,8.6053,13.7897,87.8513,34.0138,28.443,0.0,0.0
PRF,45.996,-77.427,-4,2007,5,11,16,16.78,30.83,13.27,0.0,0.35,83.77,0.6074,5.7243,20.4706,14.7463,14.9153,86.2404,9.8973,26.1261,4.8838,10.1664,5.3405,0.5277,8.6053,13.0948,87.8369,34.2921,28.5012,0.0,0.0
PRF,45.996,-77.427,-4,2007,5,11,17,16.44,30.42,12.19,0.0,0.35,83.77,0.4892,5.7243,20.4706,14.7463,13.7563,87.2892,10.1513,26.5602,5.3676,10.3823,5.9236,0.6339,8.6053,12.857,87.9904,31.2569,27.8393,0.0,0.0
PRF,45.996,-77.427,-4,2007,5,11,18,15.62,32.02,11.04,0.0,0.35,83.77,0.3473,5.7243,20.4706,14.7463,13.0561,87.9303,10.387,26.982,5.5519,10.586,6.1806,0.6834,8.9019,12.857,87.9504,27.0643,26.8105,0.0,0.0
PRF,45.996,-77.427,-4,2007,5,11,19,14.24,33.6,14.13,0.0,0.35,83.77,0.1963,5.7243,20.4706,14.7463,12.6712,88.2851,10.5969,27.3831,6.8259,10.7721,7.5462,0.9731,9.9193,12.857,86.8763,31.814,27.9655,0.0,0.0
PRF,45.996,-77.427,-4,2007,5,11,20,11.92,37.01,11.48,0.0,0.35,83.77,0.0499,5.7243,20.4706,14.7463,12.6533,88.3017,10.7636,27.7494,5.9868,10.9291,6.7443,0.7976,11.3451,13.0743,86.2389,21.7379,25.2451,0.0,0.0
PRF,45.996,-77.427,-4,2007,5,11,21,10.37,40.74,9.28,0.0,0.35,83.77,0.0,5.7243,20.4706,14.7463,12.6533,88.3017,10.7636,27.7494,5.3586,10.9291,6.0764,0.6632,12.6739,13.6229,85.506,14.3777,22.2924,0.0,0.0
PRF,45.996,-77.427,-4,2007,5,11,22,9.31,43.82,7.82,0.0,0.35,83.77,0.0,5.7243,20.4706,14.7463,12.6749,88.2817,10.7636,27.7494,4.9643,10.9291,5.6438,0.5819,13.7057,14.2392,84.8626,9.8246,19.5725,0.0,0.0
PRF,45.996,-77.427,-4,2007,5,11,23,7.876,43.54,11.58,0.0,0.35,83.77,0.0,5.7243,20.4706,14.7463,12.7266,88.234,10.7636,27.7494,5.9589,10.9291,6.7151,0.7915,14.4533,14.7477,84.0353,16.2555,23.1692,0.0,0.0
PRF,45.996,-77.427,-4,2007,5,12,0,6.11,47.0,7.308,0.0,0.35,83.14,0.0,5.7026,20.4912,14.7887,12.9038,88.0705,10.7636,27.7494,4.6935,10.9291,5.34,0.5276,15.2303,15.4047,83.6046,6.6709,16.8072,0.0,0.0
PRF,45.996,-77.427,-4,2007,5,12,1,4.922,50.38,6.712,0.0,0.35,83.14,0.0,5.7026,20.4912,14.7887,13.1699,87.8258,10.7636,27.7494,4.3976,10.9291,5.0016,0.4699,16.0118,16.1166,83.0563,4.8702,14.56,0.0,0.0
PRF,45.996,-77.427,-4,2007,5,12,2,3.796,54.38,4.913,0.0,0.35,83.14,0.0,5.7026,20.4912,14.7887,13.5114,87.5129,10.7636,27.7494,3.8406,10.9291,4.3433,0.366,16.8116,16.8765,82.5445,1.8901,7.7992,0.0,0.0
PRF,45.996,-77.427,-4,2007,5,12,3,2.785,54.8,4.528,0.0,0.35,83.14,0.0,5.7026,20.4912,14.7887,13.8279,87.224,10.7636,27.7494,3.6146,10.9291,4.0673,0.3259,17.4135,17.4545,82.1031,1.4186,5.7493,0.0,0.0
PRF,45.996,-77.427,-4,2007,5,12,4,1.523,60.37,4.488,0.0,0.35,83.14,0.0,5.7026,20.4912,14.7887,14.2649,86.8271,10.7636,27.7494,3.4091,10.9291,3.8114,0.2905,18.2569,18.2828,81.4607,0.947,3.5831,0.0,0.0
PRF,45.996,-77.427,-4,2007,5,12,5,0.339,65.48,3.366,0.0,0.35,83.14,0.0,5.7026,20.4912,14.7887,14.7762,86.3655,10.7636,27.7494,3.0178,10.9291,3.3092,0.2262,19.2145,19.2313,80.7686,0.3245,1.2279,0.0,0.0
PRF,45.996,-77.427,-4,2007,5,12,6,0.581,66.2,4.098,0.0,0.35,83.14,0.0119,5.7026,20.4912,14.7887,15.2551,85.9357,10.768,27.9456,2.9473,10.9693,3.2243,0.216,19.7998,19.891,80.2967,0.0972,0.3679,0.0,0.0
PRF,45.996,-77.427,-4,2007,5,12,7,1.25,64.54,5.846,0.0,0.35,83.14,0.0766,5.7026,20.4912,14.7887,15.6398,85.5922,10.7778,28.1519,3.0677,11.014,3.3917,0.2363,19.7998,20.1389,80.2372,0.1838,0.6954,0.0,0.0
PRF,45.996,-77.427,-4,2007,5,12,8,3.182,57.38,5.836,0.0,0.35,83.14,0.1777,5.7026,20.4912,14.7887,15.7445,85.4991,10.8079,28.3871,3.0267,11.0746,3.35,0.2312,19.2889,20.1389,80.6242,0.6645,2.5142,0.0,0.0
PRF,45.996,-77.427,-4,2007,5,12,9,4.122,52.0,6.84,0.0,0.35,83.14,0.2865,5.7026,20.4912,14.7887,15.7445,85.4991,10.8518,28.6364,3.1837,11.1451,3.5694,0.2586,17.9817,19.962,81.5694,2.5392,9.9078,0.0,0.0
PRF,45.996,-77.427,-4,2007,5,12,10,6.611,42.82,5.524,0.0,0.35,83.14,0.4403,5.7026,20.4912,14.7887,15.5857,85.6404,10.9358,28.9231,3.0387,11.2436,3.3996,0.2372,15.2932,18.9157,83.6644,3.9119,12.9948,0.0,0.0
PRF,45.996,-77.427,-4,2007,5,12,11,7.417,36.16,11.05,0.0,0.35,83.14,0.5529,5.7026,20.4912,14.7887,15.1501,86.0297,11.0409,29.2218,4.2393,11.3556,4.9238,0.457,13.1448,17.5505,84.8282,17.3503,23.6348,0.0,0.0
PRF,45.996,-77.427,-4,2007,5,12,12,9.26,26.33,11.26,0.0,0.35,83.14,0.6687,5.7026,20.4912,14.7887,14.2418,86.848,11.1923,29.5482,4.8099,11.4973,5.6253,0.5785,10.4376,15.512,86.665,23.2229,25.7171,0.0,0.0
PRF,45.996,-77.427,-4,2007,5,12,13,10.55,26.33,7.758,0.0,0.35,83.14,0.7089,5.7026,20.4912,14.7887,13.4876,87.5346,11.3649,29.894,4.4465,11.6537,5.2437,0.5109,8.7976,14.4057,88.1982,17.2925,23.6109,0.0,0.0
PRF,45.996,-77.427,-4,2007,5,12,14,10.96,23.5,9.74,0.0,0.35,83.14,0.7073,5.7026,20.4912,14.7887,12.6874,88.2701,11.551,30.2459,5.4595,11.8183,6.4462,0.7363,8.0979,13.4546,88.4108,25.1853,26.2965,0.0,0.0
PRF,45.996,-77.427,-4,2007,5,12,15,11.3,23.33,9.26,0.0,0.35,83.14,0.661,5.7026,20.4912,14.7887,12.0347,88.8756,11.7433,30.6029,5.813,11.9871,6.8846,0.8272,7.9611,12.9603,88.5669,24.002,25.9528,0.0,0.0
PRF,45.996,-77.427,-4,2007,5,12,16,13.15,20.13,7.014,0.0,0.35,83.14,0.5994,5.7026,20.4912,14.7887,11.259,89.6015,11.9765,30.9876,5.7613,12.1822,6.886,0.8275,7.3354,12.032,89.2889,17.3965,23.6537,0.0,0.0
PRF,45.996,-77.427,-4,2007,5,12,17,12.43,18.59,10.59,0.0,0.35,83.14,0.4818,5.7026,20.4912,14.7887,10.5602,90.2616,12.2011,31.3616,7.5836,12.3705,8.8627,1.2935,7.3354,11.4819,88.7773,30.2365,27.6022,0.0,0.0
PRF,45.996,-77.427,-4,2007,5,12,18,12.53,18.56,9.79,0.0,0.35,83.14,0.3482,5.7026,20.4912,14.7887,10.0221,90.774,12.4277,31.737,7.8375,12.5598,9.1848,1.3778,7.4438,11.2373,88.828,27.1987,26.8459,0.0,0.0
PRF,45.996,-77.427,-4,2007,5,12,19,12.16,20.67,11.95,0.0,0.35,83.14,0.2007,5.7026,20.4912,14.7887,9.7453,91.0388,12.6418,32.1069,9.0752,12.7415,10.4615,1.7348,8.0864,11.2373,88.0984,32.0172,28.0109,0.0,0.0
PRF,45.996,-77.427,-4,2007,5,12,20,10.32,21.22,8.55,0.0,0.35,83.14,0.0543,5.7026,20.4912,14.7887,9.6476,91.1326,12.8223,32.4492,7.7491,12.9005,9.2165,1.3863,8.922,11.2373,88.0166,19.5119,24.4734,0.0,0.0
PRF,45.996,-77.427,-4,2007,5,12,21,8.39,23.85,6.17,0.0,0.35,83.14,0.0,5.7026,20.4912,14.7887,9.6476,91.1326,12.8223,32.4492,6.8734,12.9005,8.3092,1.1539,9.8918,11.4785,87.6066,10.5789,20.1008,0.0,0.0
PRF,45.996,-77.427,-4,2007,5,12,22,4.92,35.02,3.47,0.0,0.35,83.14,0.0,5.7026,20.4912,14.7887,9.8793,90.9105,12.8223,32.4492,5.8121,12.9005,7.1534,0.8852,11.4343,12.5294,86.714,3.6416,12.4833,0.0,0.0
